Name,Connection Strength,Log10
"Area PFt (IPL) left",0.41,-0.38721614328026455
"Area PFop (IPL) right",0.41,-0.38721614328026455
"Area 6v3 (PreCG) left",0.405,-0.3925449767853314
"Area 6v2 (PreCG) left",0.405,-0.3925449767853314
"Area Op5 (Frontal Operculum) right",0.405,-0.3925449767853314
"Area Op2 (POperc) right",0.4,-0.3979400086720376
"Area 3a (PostCG) right",0.395,-0.40340290437353976
"Area p24ab (pACC) right",0.385,-0.4145392704914993
"Area p24c (pACC) right",0.385,-0.4145392704914993
"Area 6d3 (SFS) left",0.375,-0.42596873227228116
"Area IFS3 (IFS) right",0.375,-0.42596873227228116
"Area 6mp (SMA, mesial SFG) right",0.37,-0.431798275933005
"Area Te 1.2 (HESCHL) left",0.36,-0.44369749923271273
"Area hIP2 (IPS) right",0.355,-0.44977164694490596
"Area p24ab (pACC) left",0.35,-0.4559319556497244
"Area Fo2 (OFC) left",0.335,-0.47495519296315475
"Area IFS2 (IFS) right",0.335,-0.47495519296315475
"AM (Thalamus, anteromedial Nucleus) right",0.33,-0.4814860601221125
"VLP (Thalamus, ventral lateral posterior Nucleus) left",0.315,-0.5016894462103995
"Frontal-I.1 (GapMap) left",0.315,-0.5016894462103995
"LD (Thalamus, lateral dorsal Nucleus) right",0.315,-0.5016894462103995
"Area 44 (IFG) left",0.3,-0.5228787452803376
"Area 33 (ACC) left",0.295,-0.530177984021837
"Area 5Ci (SPL) left",0.295,-0.530177984021837
"Area 2 (PostCS) left",0.29,-0.5376020021010439
"Area Fo7 (OFC) left",0.285,-0.5451551399914898
"VA (Thalamus, ventral anterior Nucleus (ventral)) right",0.285,-0.5451551399914898
"Area 4a (PreCG) left",0.28,-0.5528419686577808
"Area Id9 (Insula) left",0.275,-0.5606673061697374
"Frontal-II (GapMap) left",0.27,-0.5686362358410126
"TuTi (Basal Forebrain, Terminal islands) right",0.27,-0.5686362358410126
"Area Op7 (Frontal Operculum) right",0.26,-0.585026652029182
"Area IFJ2 (IFS, PreCS) right",0.26,-0.585026652029182
"Area Id6 (Insula) left",0.255,-0.5934598195660448
"Area IFJ1 (IFS, PreCS) right",0.255,-0.5934598195660448
"Area Ia1 (Insula) left",0.245,-0.6108339156354675
"Area Op3 (POperc) right",0.24,-0.619788758288394
"Area p24c (pACC) left",0.225,-0.6478174818886375
"Area Id8 (Insula) left",0.22,-0.6575773191777937
"AcbM (Ventral Striatum, Medial Accumbens) left",0.22,-0.6575773191777937
"Area s24 (sACC) left",0.22,-0.6575773191777937
"Area PFop (IPL) left",0.215,-0.6675615400843947
"AcbL (Ventral Striatum, Lateral Accumbens) left",0.205,-0.6882461389442457
"Area Ia3 (Insula) left",0.2,-0.6989700043360187
"Area MFG4 (MFG) left",0.2,-0.6989700043360187
"Area s32 (sACC) left",0.2,-0.6989700043360187
"Area SFG3 (SFG) left",0.185,-0.7328282715969862
"ZI (Thalamus, zona incerta) left",0.175,-0.7569619513137056
"Area Ia2 (Insula) left",0.175,-0.7569619513137056
"Area Id5 (Insula) left",0.175,-0.7569619513137056
"Area Op6 (Frontal Operculum) left",0.165,-0.7825160557860937
"Area 3a (PostCG) left",0.16,-0.7958800173440752
"Area Op9 (Frontal Operculum) left",0.155,-0.8096683018297085
"Area SFG4 (SFG) left",0.15,-0.8239087409443188
"Area 25 (sACC) right",0.15,-0.8239087409443188
"Area EC (Hippocampal Region, Entorhinal Cortex) left",0.145,-0.8386319977650252
"Area Fo6 (OFC) left",0.145,-0.8386319977650252
"VLP (Thalamus, ventral lateral posterior Nucleus) right",0.145,-0.8386319977650252
"Area Fo4 (OFC) left",0.14,-0.8538719643217619
"Area 45 (IFG) left",0.13,-0.8860566476931632
"Area 6r1 (PreCG) left",0.125,-0.9030899869919435
"Area 8d2 (SFG) left",0.125,-0.9030899869919435
"SNC (Midbrain, Substantia Nigra pars compacta) left",0.12,-0.9208187539523752
"Area 8v2 (MFG) left",0.12,-0.9208187539523752
"Area Id7 (Insula) left",0.115,-0.9393021596463883
"Area Ig3 (Insula) right",0.115,-0.9393021596463883
"Area Op1 (POperc) left",0.105,-0.978810700930062
"Area 25 (sACC) left",0.095,-1.0222763947111522
"Area MFG2 (MFG) left",0.095,-1.0222763947111522
"Area MFG1 (MFG) left",0.08,-1.0969100130080565
"Area Op2 (POperc) left",0.08,-1.0969100130080565
"Area Op8 (Frontal Operculum) left",0.075,-1.1249387366083
"ZI (Thalamus, zona incerta) right",0.075,-1.1249387366083
"MD (Thalamus, mediodorsal Nucleus) right",0.075,-1.1249387366083
"VA (Thalamus, ventral anterior Nucleus (ventral)) left",0.065,-1.1870866433571443
"Area Fo5 (OFC) left",0.065,-1.1870866433571443
"Area 4p (PreCG) left",0.065,-1.1870866433571443
"STN (Subthalamus) right",0.055,-1.2596373105057561
"Area Op10 (Frontal Operculum) left",0.05,-1.3010299956639813
"VLA (Thalamus, ventral lateral anterior Nucleus) right",0.05,-1.3010299956639813
"SNR (Midbrain, Substantia Nigra pars reticulata) left",0.045,-1.3467874862246563
"LD (Thalamus, lateral dorsal Nucleus) left",0.04,-1.3979400086720375
"Area MFG5 (MFG, IFG) left",0.04,-1.3979400086720375
"Area Op4 (POperc) left",0.04,-1.3979400086720375
