Name,Connection Strength,Log10
"Area IFJ2 (IFS, PreCS) right",0.365,-0.4377071355435253
"Area SFG4 (SFG) left",0.355,-0.44977164694490596
"Area Ia3 (Insula) left",0.355,-0.44977164694490596
"AcbL (Ventral Striatum, Lateral Accumbens) left",0.355,-0.44977164694490596
"Area Id6 (Insula) left",0.345,-0.4621809049267259
"Area 5Ci (SPL) left",0.335,-0.47495519296315475
"Area MFG2 (MFG) left",0.32,-0.494850021680094
"Area Fo6 (OFC) left",0.32,-0.494850021680094
"Area 44 (IFG) left",0.315,-0.5016894462103995
"Area Fo4 (OFC) left",0.315,-0.5016894462103995
"Area Id8 (Insula) left",0.305,-0.5157001606532142
"Area 6v3 (PreCG) left",0.305,-0.5157001606532142
"Area Id9 (Insula) left",0.295,-0.530177984021837
"Area PFop (IPL) left",0.295,-0.530177984021837
"Area Id5 (Insula) left",0.285,-0.5451551399914898
"Area 6v2 (PreCG) left",0.285,-0.5451551399914898
"Area 6mp (SMA, mesial SFG) left",0.275,-0.5606673061697374
"ZI (Thalamus, zona incerta) left",0.275,-0.5606673061697374
"Area 25 (sACC) left",0.25,-0.6020599913279624
"Area 45 (IFG) left",0.235,-0.6289321377282637
"Area 3a (PostCG) left",0.23,-0.638272163982407
"Area 6mp (SMA, mesial SFG) right",0.23,-0.638272163982407
"Area Ig3 (Insula) right",0.23,-0.638272163982407
"Area EC (Hippocampal Region, Entorhinal Cortex) left",0.225,-0.6478174818886375
"Frontal-II (GapMap) left",0.225,-0.6478174818886375
"MD (Thalamus, mediodorsal Nucleus) right",0.225,-0.6478174818886375
"Area Op1 (POperc) left",0.22,-0.6575773191777937
"Area Op9 (Frontal Operculum) left",0.21,-0.6777807052660807
"Area MFG1 (MFG) left",0.19,-0.721246399047171
"SNC (Midbrain, Substantia Nigra pars compacta) left",0.19,-0.721246399047171
"VA (Thalamus, ventral anterior Nucleus (ventral)) left",0.18,-0.744727494896694
"Area Op8 (Frontal Operculum) left",0.17,-0.769551078621726
"Area Op2 (POperc) left",0.16,-0.7958800173440752
"Area Fo5 (OFC) left",0.15,-0.8239087409443188
"Area 8v2 (MFG) left",0.15,-0.8239087409443188
"Area MFG5 (MFG, IFG) left",0.145,-0.8386319977650252
"Area Id7 (Insula) left",0.14,-0.8538719643217619
"Area Op6 (Frontal Operculum) left",0.135,-0.8696662315049939
"Area 8d2 (SFG) left",0.125,-0.9030899869919435
"Area 6r1 (PreCG) left",0.105,-0.978810700930062
"Area 4p (PreCG) left",0.1,-1
"CL (Thalamus, anterior intralaminar nuclei) right",0.1,-1
"STN (Subthalamus) right",0.09,-1.0457574905606752
"LD (Thalamus, lateral dorsal Nucleus) left",0.085,-1.0705810742857071
"Area Op10 (Frontal Operculum) left",0.075,-1.1249387366083
